Solar System,Planet,Distance (light-years),Travel Time at Speed of Light (years),Atmospheric Oxygen Content,Soil Fertility,Median Seasonal Temperatures (F),Availability of Potable Water,Suitability for Life
System970,Planet3,510.91,510.91,0.25,0.51,37.59,Y,No
System971,Planet1,253.51,253.51,0.15,0.35,-2.08,Y,No
System971,Planet2,382.11,382.11,0.12,0.72,69.01,N,No
System971,Planet3,1384.93,1384.93,0.27,0.58,46.1,N,No
System972,Planet1,741.19,741.19,0.29,0.8,6.86,N,No
System972,Planet2,590.38,590.38,0.1,0.53,31.55,Y,No
System972,Planet3,53.96,53.96,0.25,0.42,-16.04,N,No
System973,Planet1,1093.22,1093.22,0.17,0.79,78.23,N,No
System973,Planet2,826.7,826.7,0.25,0.45,1.64,N,No
System973,Planet3,759.44,759.44,0.25,0.45,80.19,Y,No
System974,Planet1,834.43,834.43,0.2,0.59,86.2,Y,No
System974,Planet2,1330.15,1330.15,0.17,0.52,-15.19,N,No
System974,Planet3,1049.92,1049.92,0.16,0.72,-17.7,N,No
System975,Planet1,1446.43,1446.43,0.17,0.6,61.43,N,No
System975,Planet2,23.89,23.89,0.16,0.78,15.4,N,No
System975,Planet3,264.46,264.46,0.2,0.52,70.89,Y,No
System976,Planet1,998.41,998.41,0.17,0.47,29.57,Y,No
System976,Planet2,193.85,193.85,0.11,0.7,-17.78,Y,No
System976,Planet3,1166.93,1166.93,0.11,0.61,-24.83,N,No
System977,Planet1,195.02,195.02,0.3,0.74,50.6,N,No
System977,Planet2,656.97,656.97,0.27,0.64,25.64,N,No
System977,Planet3,1422.7,1422.7,0.12,0.71,35.16,Y,No
System978,Planet1,544.67,544.67,0.23,0.43,13.74,Y,No
System978,Planet2,1077.33,1077.33,0.22,0.45,74.92,N,No
System978,Planet3,1443.79,1443.79,0.21,0.49,82.98,Y,No
System979,Planet1,1441.98,1441.98,0.28,0.69,98.78,N,No
System979,Planet2,923.59,923.59,0.21,0.59,43.17,N,No
System979,Planet3,707.15,707.15,0.21,0.5,36.96,Y,No
System980,Planet1,84.53,84.53,0.18,0.42,27.17,Y,No
System980,Planet2,971.24,971.24,0.21,0.76,94.46,Y,No
System980,Planet3,114.01,114.01,0.22,0.58,72.14,N,No
System981,Planet1,363.5,363.5,0.17,0.47,-28.63,N,No
System981,Planet2,686.57,686.57,0.21,0.75,26.5,Y,No
System981,Planet3,652.9,652.9,0.19,0.43,-8.61,N,No
System982,Planet1,216.51,216.51,0.28,0.75,20.48,Y,No
System982,Planet2,578.53,578.53,0.28,0.34,-8.19,N,No
System982,Planet3,513.88,513.88,0.18,0.73,-10.16,Y,No
System983,Planet1,1470.92,1470.92,0.14,0.53,-3.74,N,No
System983,Planet2,924.66,924.66,0.22,0.54,77.19,N,No
System983,Planet3,301.87,301.87,0.24,0.32,-2.16,Y,No
System984,Planet1,17.29,17.29,0.27,0.78,83.74,N,No
System984,Planet2,987.62,987.62,0.11,0.47,96.23,N,No
System984,Planet3,311.49,311.49,0.22,0.58,78.73,Y,No
System985,Planet1,907.99,907.99,0.22,0.55,-2.98,N,No
System985,Planet2,642.69,642.69,0.27,0.45,-23.36,N,No
System985,Planet3,1339.16,1339.16,0.14,0.32,94.38,N,No
System986,Planet1,671.7,671.7,0.15,0.61,78.95,N,No
System986,Planet2,493.51,493.51,0.26,0.53,52.24,Y,No
System986,Planet3,596.24,596.24,0.12,0.67,63.51,N,No
System987,Planet1,487.83,487.83,0.26,0.67,-3.41,N,No
System987,Planet2,52.47,52.47,0.25,0.49,31.27,Y,No
System987,Planet3,391.43,391.43,0.2,0.76,35.34,Y,No
System988,Planet1,863.06,863.06,0.17,0.32,-0.05,N,No
System988,Planet2,1205.08,1205.08,0.16,0.6,70.6,N,No
System988,Planet3,1260.26,1260.26,0.14,0.61,-3.43,N,No
System989,Planet1,677.41,677.41,0.16,0.69,26.93,Y,No
System989,Planet2,1229.55,1229.55,0.2,0.69,-17.51,Y,No
System989,Planet3,645.92,645.92,0.25,0.35,15.6,N,No
System990,Planet1,1295.39,1295.39,0.23,0.3,3.0,N,No
System990,Planet2,1200.04,1200.04,0.21,0.37,-10.69,Y,No
System990,Planet3,738.79,738.79,0.29,0.51,89.45,Y,No
System991,Planet1,1490.22,1490.22,0.25,0.58,41.89,N,No
System991,Planet2,1075.67,1075.67,0.18,0.54,-2.29,N,No
System991,Planet3,1439.82,1439.82,0.23,0.47,33.02,N,No
System992,Planet1,360.42,360.42,0.3,0.47,90.62,N,No
System992,Planet2,913.8,913.8,0.14,0.74,-21.4,N,No
System992,Planet3,139.67,139.67,0.13,0.36,35.74,N,No
System993,Planet1,893.2,893.2,0.16,0.55,20.71,Y,No
System993,Planet2,849.14,849.14,0.27,0.53,-6.14,Y,No
System993,Planet3,501.11,501.11,0.26,0.5,-5.71,Y,No
System994,Planet1,1136.43,1136.43,0.14,0.33,34.09,Y,No
System994,Planet2,164.27,164.27,0.29,0.55,69.08,Y,No
System994,Planet3,528.01,528.01,0.18,0.52,65.52,Y,No
System995,Planet1,1228.9,1228.9,0.21,0.49,62.28,Y,No
System995,Planet2,514.02,514.02,0.29,0.78,31.48,Y,No
System995,Planet3,1365.03,1365.03,0.23,0.79,82.02,Y,No
System996,Planet1,132.44,132.44,0.18,0.43,8.88,Y,No
System996,Planet2,1441.35,1441.35,0.16,0.37,97.83,Y,No
System996,Planet3,522.44,522.44,0.22,0.75,6.09,Y,No
System997,Planet1,483.56,483.56,0.2,0.51,95.79,Y,No
System997,Planet2,1275.1,1275.1,0.2,0.51,68.48,N,No
System997,Planet3,1369.24,1369.24,0.17,0.77,-8.16,Y,No
System998,Planet1,1349.8,1349.8,0.12,0.31,6.04,N,No
System998,Planet2,760.0,760.0,0.25,0.63,15.95,N,No
System998,Planet3,132.47,132.47,0.14,0.58,24.66,N,No
System999,Planet1,657.56,657.56,0.18,0.43,63.41,N,No
System999,Planet2,23.69,23.69,0.18,0.77,-27.28,N,No
System999,Planet3,1189.98,1189.98,0.25,0.74,-1.15,Y,No
System1000,Planet1,1193.15,1193.15,0.22,0.4,84.77,N,No
System1000,Planet2,1141.18,1141.18,0.1,0.54,55.41,N,No
System1000,Planet3,1123.81,1123.81,0.2,0.33,-13.67,N,No
